Jurisdiction,Year,Fuel,Unit,Quantity,percentage
QLD,2008,Total non-renewable,GWh,60850.8,96.0
QLD,2008,Total renewable,GWh,2487.3,4.0
QLD,2009,Total non-renewable,GWh,62105.0,96.0
QLD,2009,Total renewable,GWh,2273.509,4.0
QLD,2010,Total non-renewable,GWh,60833.3,96.0
QLD,2010,Total renewable,GWh,2314.7,4.0
QLD,2011,Total non-renewable,GWh,61026.7,96.0
QLD,2011,Total renewable,GWh,2636.5,4.0
QLD,2012,Total non-renewable,GWh,59367.7,95.0
QLD,2012,Total renewable,GWh,3264.7,5.0
QLD,2013,Total non-renewable,GWh,56674.5,94.0
QLD,2013,Total renewable,GWh,3805.465,6.0
QLD,2014,Total non-renewable,GWh,63999.5,94.0
QLD,2014,Total renewable,GWh,4117.542,6.0
QLD,2015,Total non-renewable,GWh,63031.85,94.0
QLD,2015,Total renewable,GWh,4355.282,6.0
QLD,2016,Total non-renewable,GWh,64495.152,94.0
QLD,2016,Total renewable,GWh,4481.666,6.0
QLD,2017,Total non-renewable,GWh,65728.454,93.0
QLD,2017,Total renewable,GWh,4988.108,7.0
QLD,2018,Total non-renewable,GWh,63055.128,89.0
QLD,2018,Total renewable,GWh,7611.352,11.0
QLD,2019,Total non-renewable,GWh,60766.749,86.0
QLD,2019,Total renewable,GWh,10236.245,14.0
QLD,2020,Total non-renewable,GWh,57607.528,82.0
QLD,2020,Total renewable,GWh,12607.874,18.0
QLD,2021,Total non-renewable,GWh,55064.589,80.0
QLD,2021,Total renewable,GWh,14168.523,20.0
QLD,2022,Total non-renewable,GWh,53579.665,76.0
QLD,2022,Total renewable,GWh,17159.297,24.0
SA,2008,Total non-renewable,GWh,12322.0,85.0
SA,2008,Total renewable,GWh,2133.8,15.0
SA,2009,Total non-renewable,GWh,11627.5,84.0
SA,2009,Total renewable,GWh,2169.4,16.0
SA,2010,Total non-renewable,GWh,11014.0,78.0
SA,2010,Total renewable,GWh,3155.0,22.0
SA,2011,Total non-renewable,GWh,9809.0,73.0
SA,2011,Total renewable,GWh,3599.628,27.0
SA,2012,Total non-renewable,GWh,9439.4,70.0
SA,2012,Total renewable,GWh,3950.6,30.0
SA,2013,Total non-renewable,GWh,8203.5,63.0
SA,2013,Total renewable,GWh,4916.465,37.0
SA,2014,Total non-renewable,GWh,7834.749,60.0
SA,2014,Total renewable,GWh,5191.562,40.0
SA,2015,Total non-renewable,GWh,7685.867,59.0
SA,2015,Total renewable,GWh,5396.549,41.0
SA,2016,Total non-renewable,GWh,6211.32,53.0
SA,2016,Total renewable,GWh,5499.925,47.0
SA,2017,Total non-renewable,GWh,7886.034,53.0
SA,2017,Total renewable,GWh,6937.615,47.0
SA,2018,Total non-renewable,GWh,7408.831,50.0
SA,2018,Total renewable,GWh,7528.675,50.0
SA,2019,Total non-renewable,GWh,6773.406,45.0
SA,2019,Total renewable,GWh,8266.039,55.0
SA,2020,Total non-renewable,GWh,5715.687,39.0
SA,2020,Total renewable,GWh,8977.631,61.0
SA,2021,Total non-renewable,GWh,4506.864,31.0
SA,2021,Total renewable,GWh,9953.499,69.0
SA,2022,Total non-renewable,GWh,4146.455,27.0
SA,2022,Total renewable,GWh,11362.41,73.0
TAS,2008,Total non-renewable,GWh,769.8,9.0
TAS,2008,Total renewable,GWh,7827.397,91.0
TAS,2009,Total non-renewable,GWh,1183.7,12.0
TAS,2009,Total renewable,GWh,8831.1,88.0
TAS,2010,Total non-renewable,GWh,1600.9,14.0
TAS,2010,Total renewable,GWh,9976.5,86.0
TAS,2011,Total non-renewable,GWh,1623.2,15.0
TAS,2011,Total renewable,GWh,8994.6,85.0
TAS,2012,Total non-renewable,GWh,1764.6,13.0
TAS,2012,Total renewable,GWh,11330.2,87.0
TAS,2013,Total non-renewable,GWh,1004.7,7.0
TAS,2013,Total renewable,GWh,12994.756,93.0
TAS,2014,Total non-renewable,GWh,149.942,2.0
TAS,2014,Total renewable,GWh,9480.946,98.0
TAS,2015,Total non-renewable,GWh,948.282,9.0
TAS,2015,Total renewable,GWh,9396.045,91.0
TAS,2016,Total non-renewable,GWh,919.37,9.0
TAS,2016,Total renewable,GWh,9683.9,91.0
TAS,2017,Total non-renewable,GWh,1004.673,9.0
TAS,2017,Total renewable,GWh,10740.248,91.0
TAS,2018,Total non-renewable,GWh,639.056,5.0
TAS,2018,Total renewable,GWh,11158.569,95.0
TAS,2019,Total non-renewable,GWh,217.312,2.0
TAS,2019,Total renewable,GWh,11461.179,98.0
TAS,2020,Total non-renewable,GWh,205.966,2.0
TAS,2020,Total renewable,GWh,10370.566,98.0
TAS,2021,Total non-renewable,GWh,185.438,2.0
TAS,2021,Total renewable,GWh,11790.255,98.0
TAS,2022,Total non-renewable,GWh,206.236,2.0
TAS,2022,Total renewable,GWh,10498.456,98.0
VIC,2008,Total non-renewable,GWh,53566.3,94.0
VIC,2008,Total renewable,GWh,3123.623,6.0
VIC,2009,Total non-renewable,GWh,53240.7,93.0
VIC,2009,Total renewable,GWh,3750.574,7.0
VIC,2010,Total non-renewable,GWh,52394.5,90.0
VIC,2010,Total renewable,GWh,5890.122,10.0
VIC,2011,Total non-renewable,GWh,53206.2,91.0
VIC,2011,Total renewable,GWh,5047.522,9.0
VIC,2012,Total non-renewable,GWh,48576.0,88.0
VIC,2012,Total renewable,GWh,6724.111,12.0
VIC,2013,Total non-renewable,GWh,47362.8,87.0
VIC,2013,Total renewable,GWh,6932.353,13.0
VIC,2014,Total non-renewable,GWh,50883.677,88.0
VIC,2014,Total renewable,GWh,7137.534,12.0
VIC,2015,Total non-renewable,GWh,48196.949,85.0
VIC,2015,Total renewable,GWh,8385.587,15.0
VIC,2016,Total non-renewable,GWh,46362.117,83.0
VIC,2016,Total renewable,GWh,9174.092,17.0
VIC,2017,Total non-renewable,GWh,40029.336,81.0
VIC,2017,Total renewable,GWh,9328.798,19.0
VIC,2018,Total non-renewable,GWh,38033.936,78.0
VIC,2018,Total renewable,GWh,10662.034,22.0
VIC,2019,Total non-renewable,GWh,36980.565,75.0
VIC,2019,Total renewable,GWh,12016.336,25.0
VIC,2020,Total non-renewable,GWh,36196.013,70.0
VIC,2020,Total renewable,GWh,15293.467,30.0
VIC,2021,Total non-renewable,GWh,34959.893,65.0
VIC,2021,Total renewable,GWh,18947.673,35.0
VIC,2022,Total non-renewable,GWh,33411.677,61.0
VIC,2022,Total renewable,GWh,21556.086,39.0
WA,2008,Total non-renewable,GWh,24758.5,97.0
WA,2008,Total renewable,GWh,813.4,3.0
WA,2009,Total non-renewable,GWh,26991.9,97.0
WA,2009,Total renewable,GWh,842.7,3.0
WA,2010,Total non-renewable,GWh,29881.8,97.0
WA,2010,Total renewable,GWh,1029.1,3.0
WA,2011,Total non-renewable,GWh,29492.8,94.0
WA,2011,Total renewable,GWh,1735.8,6.0
WA,2012,Total non-renewable,GWh,29967.0,94.0
WA,2012,Total renewable,GWh,2079.3,6.0
WA,2013,Total non-renewable,GWh,34251.4,93.0
WA,2013,Total renewable,GWh,2428.186,7.0
WA,2014,Total non-renewable,GWh,35159.704,93.0
WA,2014,Total renewable,GWh,2622.214,7.0
WA,2015,Total non-renewable,GWh,36159.649,93.0
WA,2015,Total renewable,GWh,2577.151,7.0
WA,2016,Total non-renewable,GWh,37051.041,93.0
WA,2016,Total renewable,GWh,2987.911,7.0
WA,2017,Total non-renewable,GWh,37987.48,92.0
WA,2017,Total renewable,GWh,3190.915,8.0
WA,2018,Total non-renewable,GWh,38150.129,91.0
WA,2018,Total renewable,GWh,3760.71,9.0
WA,2019,Total non-renewable,GWh,38945.516,90.0
WA,2019,Total renewable,GWh,4450.522,10.0
WA,2020,Total non-renewable,GWh,37351.004,86.0
WA,2020,Total renewable,GWh,6164.277,14.0
WA,2021,Total non-renewable,GWh,37168.239,83.0
WA,2021,Total renewable,GWh,7381.045,17.0
WA,2022,Total non-renewable,GWh,36841.251,83.0
WA,2022,Total renewable,GWh,7636.963,17.0
